layer_name,cosine_similarity,sensitive,weight_shape
model.language_model.layers.28.self_attn.q_proj,0.8252032995223999,True,"[2048, 1536]"
model.language_model.layers.28.self_attn.v_proj,0.9076377749443054,False,"[256, 1536]"
model.language_model.layers.28.self_attn.o_proj,0.8499892950057983,True,"[1536, 2048]"
model.language_model.layers.28.mlp.gate_proj,0.8641917109489441,True,"[12288, 1536]"
model.language_model.layers.28.mlp.up_proj,0.8792241811752319,True,"[12288, 1536]"
model.language_model.layers.28.mlp.down_proj,0.8791871070861816,True,"[1536, 12288]"
model.language_model.layers.28.per_layer_input_gate,0.8760858178138733,True,"[256, 1536]"
model.language_model.layers.28.per_layer_projection,0.863760232925415,True,"[1536, 256]"
model.language_model.layers.29.self_attn.k_proj,0.907357931137085,False,"[512, 1536]"
model.language_model.layers.29.self_attn.q_proj,0.8452385663986206,True,"[4096, 1536]"
model.language_model.layers.29.self_attn.v_proj,0.9071024656295776,False,"[512, 1536]"
model.language_model.layers.29.self_attn.o_proj,0.8609081506729126,True,"[1536, 4096]"
model.language_model.layers.29.mlp.gate_proj,0.8742284178733826,True,"[12288, 1536]"
model.language_model.layers.29.mlp.up_proj,0.881716787815094,True,"[12288, 1536]"
model.language_model.layers.29.mlp.down_proj,0.8793113231658936,True,"[1536, 12288]"
model.language_model.layers.29.per_layer_input_gate,0.8736841678619385,True,"[256, 1536]"
model.language_model.layers.29.per_layer_projection,0.8290655612945557,True,"[1536, 256]"
model.language_model.layers.30.self_attn.k_proj,0.9074459075927734,False,"[256, 1536]"
model.language_model.layers.30.self_attn.q_proj,0.8372576236724854,True,"[2048, 1536]"
model.language_model.layers.30.self_attn.v_proj,0.9075762033462524,False,"[256, 1536]"
model.language_model.layers.30.self_attn.o_proj,0.8699536323547363,True,"[1536, 2048]"
model.language_model.layers.30.mlp.gate_proj,0.8749179840087891,True,"[12288, 1536]"
model.language_model.layers.30.mlp.up_proj,0.8839004039764404,True,"[12288, 1536]"
model.language_model.layers.30.mlp.down_proj,0.8822290897369385,True,"[1536, 12288]"
model.language_model.layers.30.per_layer_input_gate,0.8658819794654846,True,"[256, 1536]"
model.language_model.layers.30.per_layer_projection,0.7803255915641785,True,"[1536, 256]"
model.language_model.layers.31.self_attn.k_proj,0.9075992107391357,False,"[256, 1536]"
model.language_model.layers.31.self_attn.q_proj,0.8370151519775391,True,"[2048, 1536]"
model.language_model.layers.31.self_attn.v_proj,0.9077801704406738,False,"[256, 1536]"
model.language_model.layers.31.self_attn.o_proj,0.8630009889602661,True,"[1536, 2048]"
model.language_model.layers.31.mlp.gate_proj,0.8771492838859558,True,"[12288, 1536]"
model.language_model.layers.31.mlp.up_proj,0.884529173374176,True,"[12288, 1536]"
model.language_model.layers.31.mlp.down_proj,0.8820337057113647,True,"[1536, 12288]"
model.language_model.layers.31.per_layer_input_gate,0.8675189018249512,True,"[256, 1536]"
model.language_model.layers.31.per_layer_projection,0.7841598987579346,True,"[1536, 256]"
model.language_model.layers.32.self_attn.k_proj,0.9077587723731995,False,"[256, 1536]"
model.language_model.layers.32.self_attn.q_proj,0.8355727195739746,True,"[2048, 1536]"
model.language_model.layers.32.self_attn.v_proj,0.9075978994369507,False,"[256, 1536]"
model.language_model.layers.32.self_attn.o_proj,0.867485761642456,True,"[1536, 2048]"
model.language_model.layers.32.mlp.gate_proj,0.8701696395874023,True,"[12288, 1536]"
model.language_model.layers.32.mlp.up_proj,0.8839879035949707,True,"[12288, 1536]"
model.language_model.layers.32.mlp.down_proj,0.8809702396392822,True,"[1536, 12288]"
model.language_model.layers.32.per_layer_input_gate,0.8628395199775696,True,"[256, 1536]"
model.language_model.layers.32.per_layer_projection,0.7631946802139282,True,"[1536, 256]"
model.language_model.layers.33.self_attn.k_proj,0.9076716899871826,False,"[256, 1536]"
model.language_model.layers.33.self_attn.q_proj,0.837431788444519,True,"[2048, 1536]"
model.language_model.layers.33.self_attn.v_proj,0.9072800278663635,False,"[256, 1536]"
model.language_model.layers.33.self_attn.o_proj,0.8679507970809937,True,"[1536, 2048]"
model.language_model.layers.33.mlp.gate_proj,0.8565630912780762,True,"[12288, 1536]"
model.language_model.layers.33.mlp.up_proj,0.8809401988983154,True,"[12288, 1536]"
model.language_model.layers.33.mlp.down_proj,0.8757998943328857,True,"[1536, 12288]"
model.language_model.layers.33.per_layer_input_gate,0.8443561792373657,True,"[256, 1536]"
model.language_model.layers.33.per_layer_projection,0.8463141918182373,True,"[1536, 256]"
model.language_model.layers.34.self_attn.k_proj,0.907483696937561,False,"[512, 1536]"
model.language_model.layers.34.self_attn.q_proj,0.8545336723327637,True,"[4096, 1536]"
model.language_model.layers.34.self_attn.v_proj,0.9077153205871582,False,"[512, 1536]"
model.language_model.layers.34.self_attn.o_proj,0.8582255840301514,True,"[1536, 4096]"
model.language_model.layers.34.mlp.gate_proj,0.8551098108291626,True,"[12288, 1536]"
model.language_model.layers.34.mlp.up_proj,0.8762991428375244,True,"[12288, 1536]"
model.language_model.layers.34.mlp.down_proj,0.8693933486938477,True,"[1536, 12288]"
model.language_model.layers.34.per_layer_input_gate,0.768380880355835,True,"[256, 1536]"
model.language_model.layers.34.per_layer_projection,0.8316507339477539,True,"[1536, 256]"
